FID,Funding_Pool_Name,Funding_Pool_Closing_Date,Financial_Year,Organisation_Name,Project_Event_Title,Confirmed_umbrella_organisation__Account_Name,Where_will_it_take_place_,Where_will_it_take_place__1,Venue,Project_Start_Date,Project_End_Date,Event_start_date,Event_end_date,Target_age_group,Target_age_group_1,Target_Population,Other_Specific_Group,Active_participants,Attendees,Physical_access,Financial_access,Total_Project_Cost,Other_Income_Your_Contribution,Difference,Amount_requested,Granted_Total_Amount,Final_Decision,Status,Outcome_1,Outcome_2,Outcome_3,Outcome_4,Outcome_5,Outcome_6,Outcome_7,Outcome_8,Outcome_9,Outcome_10,Link_to_website_for_your_project_event
2047,Arts And Culture Fund,2015-03-21T12:00:00.000Z,2014,Tawata Productions,Matariki Development Festival 2015,-,-,All of Wellington City,Circa Theatre,3/22/2015 12:00:00 AM,7/4/2015 12:00:00 AM,6/8/2015 12:00:00 AM,7/4/2015 12:00:00 AM,-,All,All,Pacific / Maori,-,-,-,"Free to all; User pays",28557.5,16057,12500.5,12500,10000,Approved,Complete,• Share the experiences and stories of Tangata Whenua in Wellington through Māori writers.,• Contribute to the promotion of culture and diversity in Wellington through the stories of Māori and Pasifika writers.,• The Matariki Development Festival creates multiple opportunities for new work to be made by professional Māori theatre practitioners in Wellington. The creation of new work leads to new employment opportunities for the Wellington theatre industry.,• Create a dynamic cultural and creative platform on which the Wellington community can engage with indigenous stories and knowledge.,"• Creates an opportunity for Wellington audiences to access high quality Māori theatre in development, as well as international indigenous theatre in development.",-,-,-,-,-,www.tawataproductions.com
2048,Arts And Culture Fund,2017-03-30T12:00:00.000Z,2016,Tawata Productions,Breaking Ground (previously known as the Matariki Development Festival 017),-,-,"Mt Cook; Te Aro; Wellington Central",Te Haukāinga,5/1/2017 12:00:00 AM,6/30/2017 12:00:00 AM,6/4/2017 12:00:00 AM,6/30/2017 12:00:00 AM,-,-,-,-,-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance",Free to all,24248.7,15249,8999.7,8999,7000,Approved,Monitoring,Share the experiences and stories of Tangata Whenua in Wellington through emerging and established Māori writers.,Share the experiences and stories of Pasifika in Wellington through emerging and established Pasifika writers.,"Contribute to the international appeal of Wellington as a culturally diverse global city. At least 2 rehearsed readings, 1 panel discussion and at least 12 workshops are held over the festival.",Breaking Ground creates multiple opportunities for professional Māori and Pasifika theatre to be developed to the high industry standards by collaborating and working alongside international indigenous theatre practitioners.,"Creates an opportunity for Wellington audiences to access high quality Māori theatre in development, as well as international indigenous theatre in development.",-,-,-,-,-,https://tawataproductions.com
2049,,,,,,,,,Massey University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,,,,,,,,,BATS Theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2051,Arts And Culture Fund,2017-03-30T12:00:00.000Z,2016,Tawata Productions,Maori and Pacific Island Producers Room,-,-,Wellington Central,"Level 1 274 Taranaki Street, Mt Cook",5/8/2017 12:00:00 AM,3/30/2018 12:00:00 AM,3/30/2017 12:00:00 AM,3/30/2017 12:00:00 AM,-,All,All,Maori and Pacifoc Island Producers to create work for all Wellingtonians,-,-,"Clearly visible signage; Mobility parking nearby",Free to all,18700,4700,14000,14000,5000,Approved,Monitoring,To widen the creative infrastructure of Maori and Pacific Dance and Theatre in Wellington,To continue to build and strengthen Maori and Pacific Dance and Theatre in Wellington,To create capability in Maori and Pacific Dance and Theatre in Wellington,To develop more Maori and Pacific Producers of Dance and Theatre in Wellington. At least 5 producers or producing companies are part of the Producers Room.,To develop more Maori and Pacific businesses in Dance and Theatre in Wellington,-,-,-,-,-,-
2052,Arts And Culture Fund,2016-08-08T12:00:00.000Z,2016,Tawata Productions,Matariki Development Festival 2017,-,-,"Mt Cook; Te Aro; Wellington Central","City Gallery, Wellington",4/24/2017 12:00:00 AM,6/24/2017 12:00:00 AM,6/18/2017 12:00:00 AM,6/24/2017 12:00:00 AM,-,-,-,-,-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair access to main entrance",Free to all,18062.27,10012.27,8050,8050,5000,Approved,Monitoring,Share the experiences and stories of Tangata Whenua in Wellington through Māori writers.,The Matariki Development Festival creates multiple opportunities for new work to be made by professional Māori theatre practitioners in Wellington. The creation of new work leads to new employment opportunities for the Wellington theatre industry.,"Creates an opportunity for Wellington audiences to access high quality Māori theatre in development, as well as international indigenous theatre in development.",The Matariki Development Festival creates an environment where emerging Māori theatre practitioners can up-skill professionally and creatively.,The Matariki Development Festival creates multiple opportunities for professional Māori and Pasifika theatre to be developed to the high industry standards by collaborating and working alongside international indigenous theatre practitioners.,-,-,-,-,-,tawataproductions.com
2053,,,,,,,,,Te Hau Kainga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2054,Wellington Regional Amenities Fund,2016-08-04T12:00:00.000Z,2016,Tawata Productions,Kia Mau Festival 2017,-,-,-,-,6/1/2017 12:00:00 AM,6/24/2017 12:00:00 AM,7/25/2016 12:00:00 AM,7/25/2016 12:00:00 AM,-,-,-,-,-,-,-,-,138075,43075,95000,95000,95000,Approved,Monitoring,Programming high quality work by Maori companies based in the Wellington region.,Programming high quality Māori theatre and dance from around Aotearoa New Zealand.,Kia Ma Festival 2017 presents seasons in three of the five Wellington cities.,Strong programming of international indigenous companies in Kia Mau Festival 2017.,"Kia Mau Festival is engaged with local festivals Matariki Development Festival, Pūtahi Festival, Measina Festival, Capital E Children's Festival, New Zealand Fringe Festival, New Zealand Festival.",-,-,-,-,-,kiamaufestival.com
2055,Arts And Culture Fund,2014-07-30T12:00:00.000Z,2014,Tawata Productions,Putahi Festival 2015,-,-,Kelburn,"Studio 77, Victoria University, Kelburn",2/22/2015 12:00:00 AM,3/1/2015 12:00:00 AM,7/30/2014 12:00:00 AM,7/30/2014 12:00:00 AM,-,All,All,Maori,-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance","Community Service/Gold card discount; User pays",24250,2000,22250,20000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
2056,Tawa Community Funding,2016-02-28T12:00:00.000Z,2015,Tawa Youth and Families trust,Tawa Youth and Families Trust,-,-,All of Tawa,-,2/21/2016 12:00:00 AM,2/21/2016 12:00:00 AM,2/21/2016 12:00:00 AM,2/21/2016 12:00:00 AM,-,Young people,All,-,-,-,-,-,28644,26000,2644,2000,500,Approved,Complete,Help young people build self esteem and make good life choices,Contribute to leadership development in the community,"Contribute to community crime prevention initiatives, working with young people at risk of ending up in the youth justice/criminal justice system",-,-,-,-,-,-,-,-
2057,Tawa Community Funding,2017-02-27T12:00:00.000Z,2016,Tawa Youth and Families Trust Board,24-7 workers at Tawa College,-,-,All of Tawa,-,2/27/2017 12:00:00 AM,11/27/2017 12:00:00 AM,2/27/2017 12:00:00 AM,2/27/2017 12:00:00 AM,-,Young people,All,-,-,-,-,-,32272,30000,2272,2000,2000,Approved,Monitoring,"Building self esteem amongst “at risk” youth, please note numbers of young people involved with projects and programmes","Reduce impact of crime and truancy, tell us how you will/have measured this, eg case studies, crime data, etc","Report on general approach- summarise types of projects, interventions that work, connect with youth development agencies active in Wellington",Supporting young people to make better long term decisions and life choices and develop leadership skills.,-,-,-,-,-,-,-
2058,Creative Communities Local Funding Scheme (Legacy),2013-02-27T12:00:00.000Z,2012,Tawny Christian,Shu's Awakening,-,-,All of Wellington City,-,3/21/2013 12:00:00 AM,7/23/2013 12:00:00 AM,-,-,-,All,-,-,-,-,-,-,13900,0,13900,13900,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
2059,Our Living City Fund,2013-10-30T12:00:00.000Z,2013,Local Food Network,Urban Farm Scoping Project,Sustainability Trust,-,All of Wellington City,-,10/31/2013 12:00:00 AM,2/28/2014 12:00:00 AM,-,-,-,-,All,-,-,-,-,-,2250,0,2250,2250,1000,Approved,Complete,Scoping Project Report on the feasibility of an Urban Farm,3 year Business Plan for a potential Urban Farm in Wellington City,Identifying possible Urban Farm Sites,A Market Report on the state of Local Food in Wellington,-,-,-,-,-,-,-
2060,Arts And Culture Fund,2015-07-06T12:00:00.000Z,2015,Local Food Network,Alone It Stands,-,-,Te Aro,The Wellington Irish Society,7/4/2015 12:00:00 AM,9/5/2015 12:00:00 AM,8/19/2015 12:00:00 AM,9/5/2015 12:00:00 AM,-,All,Other specific group,Irish Community,-,-,Clearly visible signage,User pays,7790,4175,3615,3615,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
2061,Our Living City Fund,2013-07-30T12:00:00.000Z,2013,Local Food Network,Uniting Gardens Project,Sustainability Trust,-,"Island Bay - Owhiro Bay; Kilbirnie; Lyall Bay; Newtown",-,10/5/2013 12:00:00 AM,11/3/2013 12:00:00 AM,-,-,-,-,-,-,-,-,Wheelchair access to main entrance,Free to all,1000,0,1000,1000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
2062,Creative Communities Local Funding Scheme (Feb 15 to Jul 16),2016-02-28T12:00:00.000Z,2015,Lokal Stories,Lokal Stories,-,-,Te Aro,• Four different vacant buildings’ windows in Te Aro.,7/14/2016 12:00:00 AM,10/14/2016 12:00:00 AM,8/30/2016 12:00:00 AM,9/30/2016 12:00:00 AM,-,Young people,-,-,56,1540,-,-,14400,2100,12300,4000,4000,Approved,Complete,Produce four film/photographic artworks. Create four performative essays or poetry.,Project film/photographic works in four vacant buildings or Thistle Hall’s windows and showcase performative readings at Pegasus Books.,Feminism and cyberbullying experts will write blogs and record talks.,Teach art workshop to young people at BGI.,Organise a panel discussion and artwork screening at Victoria University for Women’s and LGBT groups.,-,-,-,-,-,www.facebook.com/lokalstories
2063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2064,,,,,,,,,• One night of performative readings by Lokal artists at Pegasus Books.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2066,,,,,,,,,• One art and feminism workshop for young people at The Boys and Girls Institute (BGI).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2068,,,,,,,,,• One screening of artists’ fil...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2069,Arts And Culture Fund,2016-03-21T12:00:00.000Z,2015,Lokal Stories,Lokal Stories,Artists Alliance Incorporated,-,"Kelburn; Te Aro",Confirmed Venues,8/22/2016 12:00:00 AM,11/28/2016 12:00:00 AM,10/6/2016 12:00:00 AM,11/7/2016 12:00:00 AM,-,Young people,Wider community,-,-,-,Wheelchair access to main entrance,Free to all,18400,13100,5300,5300,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,www.facebook.com/lokalstories
2070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2071,,,,,,,,,"Pegasus Books, Cuba St, Te Aro - Performative readings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2073,,,,,,,,,"BGI, 3 Macdonald Cres, Te Aro - Workshop for young people.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2075,,,,,,,,,"Victoria University, 1 Kelburn Parade, Kelburn - Screening of artists’ films and talk.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2077,,,,,,,,,"Pyramid Club, 272 Taran...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2078,Arts And Culture Fund,2016-03-21T12:00:00.000Z,2015,Loki Lounge Ltd,Loki Lounge,-,-,Te Aro,Loki Lounge is located on the ground floor on 46 Abel Smith street.,3/21/2016 12:00:00 AM,3/3/2017 12:00:00 AM,3/21/2016 12:00:00 AM,3/21/2016 12:00:00 AM,-,All,Wider community,-,-,-,"Clearly visible signage; Wheelchair access to main entrance",User pays,40248,30500,9748,4000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,www.facebook.com/LokiLoungeWelly
2079,Arts And Culture Fund,2017-03-30T12:00:00.000Z,2016,Lombard Coffee House LTD,Lombard Laneway Mural,-,-,-,Tournament carpark building foyer.,4/20/2017 12:00:00 AM,4/24/2017 12:00:00 AM,4/20/2017 12:00:00 AM,4/24/2017 12:00:00 AM,-,All,All,-,-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance",Free to all,1000,0,1000,1000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
2080,Creative Communities Local Funding Scheme (Feb 15 to Jul 16),2015-03-06T12:00:00.000Z,2014,Long Cloud Youth Theatre - Whitireia,The Adding Machine,-,-,Te Aro,"25 - 27 Vivian St, Te Aro Whitireia Performing Arts Centre",3/9/2015 12:00:00 AM,5/12/2015 12:00:00 AM,5/6/2015 12:00:00 AM,5/12/2015 12:00:00 AM,-,Young people,-,-,26,233,-,-,9313.29,5603.6,3709.69,3709.69,3709,Approved,Monitoring,1. Foundations of Performance. Students will have gained access and insight to what is required in creating a high quality arts experience.,2. Performance experience. Students will learn to translate theatre arts concepts into performance through rigorous training principles applied during rehearsals of The Adding Machine.,"3. Innovative Production Design. We aim to create a theatrical landscape with a variety of different technological languages – audio-visual elements, directional sound, projection mapping and architectural lighting.","4. Engagement with community. Long Cloud aims to continue to create stories engaging with the local youth community, concerned with issues young people are facing today.",-,-,-,-,-,-,https://www.facebook.com/LongCloudYouthTheatre
2081,Arts And Culture Fund,2014-07-30T12:00:00.000Z,2014,Long Cloud Youth Theatre - Whitireia,The Mountebank,-,-,Wellington Central,Level 2/109 Dixon St (through Urban Dream Brokerage),9/4/2014 12:00:00 AM,9/12/2014 12:00:00 AM,7/30/2014 12:00:00 AM,7/30/2014 12:00:00 AM,-,Young people,All,-,-,-,Clearly visible signage,User pays,7091.5,6307.5,784,784,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
2082,Wellington Venue Subsidy,2014-06-29T12:00:00.000Z,2013,Loop Media Limited,Rhian Sheehan with the Wellington Philharmonic Orchestra,-,Opera House,-,-,7/13/2013 12:00:00 AM,7/13/2013 12:00:00 AM,-,-,-,All,All,-,-,-,-,-,61578.86,56250,5328.86,5328.86,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
2083,Creative Communities Local Funding Scheme (Legacy),2014-08-30T12:00:00.000Z,2014,Lost Cow Performances,Untitled Queer Commercial Dance Show,-,-,Wellington Central,Gryphon Theatre,11/30/2014 12:00:00 AM,3/18/2015 12:00:00 AM,8/28/2014 12:00:00 AM,8/28/2014 12:00:00 AM,-,All,-,-,-,-,-,-,9452.5,1984.5,7468,2000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
2084,Creative Communities Local Funding Scheme (Legacy),2014-08-30T12:00:00.000Z,2014,Low Noise Collective,Low Noise2 Exhibtion,-,-,Wellington Central,"Toi Pōneke Arts Centre, Gallery Space",2/13/2015 12:00:00 AM,3/7/2015 12:00:00 AM,8/29/2014 12:00:00 AM,8/29/2014 12:00:00 AM,-,All,-,-,-,-,-,-,2550,1800,750,750,750,Approved,Complete,To allow a wide range of patrons to engage and experience work within the Sound Installation medium and Sonic Art practice,"To expand our audience by connecting and networking with the NZ Fringe Festival, NZSM, Audio Foundation and the Parliamentary Services Displays & Collections Team.",To hold the Low Noise exhibition at Toi P?neke Gallery and display a series of high quality artworks.,To hold a series of free live performances in the gallery space allowing visitors to experience a wider variety of this artistic practice.,-,-,-,-,-,-,-
2085,Creative Communities Local Funding Scheme (Legacy),2014-08-30T12:00:00.000Z,2014,Lucy Marinkovich,The Bosch Box,-,-,"Te Aro; Wellington Central",The Wellington Waterfront (as part of the 2015 Performance Arcade).,2/18/2015 12:00:00 AM,2/22/2015 12:00:00 AM,8/30/2014 12:00:00 AM,8/30/2014 12:00:00 AM,-,All,-,-,-,-,-,-,1193,193,1000,1000,1000,Approved,Complete,Provide dancers with a safe working/performance environment.,Provide the dancers with a positive and stimulating working experience.,Share the creative process of contemporary dance with the Wellington community.,Introduce contemporary dance to people who haven't yet had exposure to it.,Further establish myself as an emerging Wellington choreographer,-,-,-,-,-,http://theplaygroundnz.com
2086,Creative Communities Local Funding Scheme (Feb 15 to Jul 16),2015-03-06T12:00:00.000Z,2014,Lucy Marinkovich,The Surrealists,-,-,"Brooklyn; Roseneath; Wellington Central","The Long Hall, Roseneath.",6/29/2015 12:00:00 AM,7/10/2015 12:00:00 AM,10/16/2015 12:00:00 AM,10/31/2015 12:00:00 AM,-,All,-,-,8,100,-,-,6920,0,6920,5600,5600,Approved,Complete,Contributing to sustainable dance careers for Wellington artists.,Providing a safe and productive working environment.,Providing the dance artists with a positive and enriching professional experience.,Creating an original contemporary dance work.,Establishing myself in the industry as an emerging female choreographer.,-,-,-,-,-,-
